Year,Citations Per Year,APT,Rank,ga_gender
2020,0,0.05,11050,female
2020,18,0.95,282,male
2020,26.5,0.95,0,female
2020,2,0.05,2377,male
2020,15.5,0.95,227,female
2020,3,0.5,1849,male
2020,0,0.05,10504,male
2020,11.5,0.25,908,male
2020,29.5,0.95,1401,male
2020,2.5,0.75,4241,male
2020,8.5,0.5,730,male
2020,4.5,0.75,1866,male
2020,0.5,0.05,518,female
2020,0.5,0.05,1050,unknown
2020,17,0.5,197,male
2020,1.5,0.5,5401,female
2020,6,0.95,3454,male
2020,8,0.95,1394,male
2020,7,0.5,4037,male
2020,8.5,0.75,1913,female
2020,0.5,0.25,5786,male
2020,1,0.05,730,male
2020,0,0.05,1020,female
2020,3.5,0.75,698,unknown
2020,2,0.75,6288,male
2020,2.5,0.75,0,female
2020,10,0.05,1160,male
2020,2.5,0.05,1391,male
2020,5.5,0.75,204,female
2020,2,0.5,3022,male
2020,2.5,0.75,861,male
2020,0,0.05,1849,female
2020,29.5,0.95,134,male
2020,3,0.75,1965,male
2020,0.5,0.25,4210,female
2020,1,0.25,1814,male
2020,9,0.75,0,female
2020,2,0.5,2762,unknown
2020,1,0.5,0,male
2020,1,0.05,0,female
2020,0.5,0.25,2434,female
2020,1,0.25,390,unknown
2020,0.5,0.05,669,male
2020,2,0.25,3022,female
2020,51.5,0.75,27,female
2020,4,0.75,484,female
2020,9.5,0.75,351,male
2020,2.5,0.75,6863,female
2020,4,0.75,2428,female
2020,2.5,0.05,256,female
2020,10.5,0.95,1394,
2020,0,0.05,0,male
2020,4,0.95,2767,female
2020,1.5,0.5,178,female
2020,16.5,0.75,650,male
2020,12.5,0.95,6146,male
2020,13.5,0.5,2026,female
2020,23.5,0.5,242,male
2020,2,0.75,650,male
2020,7.5,0.95,4434,female
2020,2.5,0.25,145,female
2020,0,0.05,3672,male
2020,5,0.25,617,male
2020,1.5,0.5,0,female
2020,3.5,0.75,1849,male
2020,7,0.95,846,male
2020,5.5,0.05,287,male
2020,3,0.5,3623,female
2020,8.5,0.95,810,female
2020,5,0.95,2588,male
2020,1,0.25,3913,male
2020,11,0.75,446,female
2020,7,0.75,1000,female
2020,9.5,0.95,916,female
2020,2,0.25,2878,male
2020,12.5,0.5,840,male
2020,2,0.75,3642,male
2020,5.5,0.75,181,male
2020,15.5,0.25,242,male
2020,7.5,0.5,754,female
2020,0,0.05,3249,female
2020,3,0.75,3623,male
2020,1,0.25,4030,female
2020,16.5,0.25,3130,male
2020,1,0.5,12018,male
2020,0,0.05,720,male
2020,13.5,0.75,4434,male
2020,2.5,0.05,2405,male
2020,2.5,0.25,788,male
2020,3,0.75,916,female
2020,6,0.75,916,male
2020,3,0.75,3130,male
2020,2,0.25,5263,male
2020,5.5,0.25,340,male
2020,57.5,0.95,313,male
2020,14.5,0.95,0,male
2020,0,0.05,10095,female
2020,1,0.05,2981,male
2020,1.5,0.5,916,
2020,4.5,0.25,916,male
2020,13,0.95,459,male
2020,1,0.05,1478,male
2020,5.5,0.75,3328,female
2020,3,0.75,0,male
2020,1,0.05,3130,male
2020,2,0.05,2384,male
2020,2,0.05,1055,male
2020,4,0.5,1413,female
2020,5.5,0.75,4914,male
2020,2.5,0.5,0,female
2020,1.5,0.05,3130,male
2020,4,0.5,0,female
2020,10.5,0.95,277,male
2020,0.5,0.05,2117,male
2020,14.5,0.25,916,female
2020,0.5,0.05,3130,female
2020,12,0.95,73,
2020,0,0.05,9358,male
2020,2,0.75,916,male
2020,9,0.25,1494,unknown
2020,14,0.95,1814,male
2020,3.5,0.25,299,male
2020,7.5,0.5,299,male
2020,0,0.05,0,female
2020,2,0.05,2528,male
2020,12.5,0.5,650,unknown
2020,4.5,0.25,1003,male
2020,1,0.05,4989,female
2020,5.5,0.75,881,male
2020,30,0.95,385,male
2020,1,0.05,4602,female
2020,2.5,0.05,2261,male
2020,1,0.05,875,male
2020,2,0.25,0,male
2020,9,0.5,703,male
2020,1,0.25,0,female
2020,1.5,0.05,134,female
2020,3,0.5,2534,male
2020,6.5,0.05,299,male
2020,1.5,0.05,2216,male
2020,4.5,0.95,855,male
2020,1,0.05,195,male
2020,2,0.05,8478,female
2020,3.5,0.75,807,female
2020,44,0.75,242,male
2020,3.5,0.75,2434,female
2020,3.5,0.5,3130,female
2020,2,0.25,2377,male
2020,0.5,0.5,1792,female
2020,4,0.75,5672,male
2020,6.5,0.25,2384,male
2020,12,0.75,545,male
2020,5.5,0.95,545,male
2020,1,0.05,8478,female
2020,22.5,0.75,1778,male
2020,0.5,0.05,1775,male
2020,1.5,0.5,0,female
2020,1,0.5,6100,male
2020,0,0.05,0,male
2020,6,0.25,642,male
2020,4,0.25,287,female
2020,3,0.5,788,female
2020,0,0.05,2684,male
2020,2,0.5,1391,male
2020,1,0.05,2384,male
2020,6,0.75,840,female
2020,0.5,0.25,5021,female
2020,10,0.5,306,male
2020,106.5,0.95,6212,unknown
2020,1.5,0.05,2216,male
2020,3,0.05,0,female
2020,0.5,0.25,1002,female
2020,1,0.25,2117,male
2020,1.5,0.25,1370,female
2020,0,0.05,17107,male
2020,0,0.05,5672,male
2020,1,0.25,846,male
2020,5.5,0.75,650,female
2020,1,0.5,0,male
2020,0,0.05,0,male
2020,1.5,0.05,1778,male
2020,6.5,0.5,340,unknown
2020,0,0.05,6114,male
2020,0.5,0.25,5693,female
2020,3,0.5,379,male
2020,0.5,0.05,3422,female
2020,0,0.05,0,male
2020,9,0.95,227,male
2020,39.5,0.95,27,female
2020,2.5,0.75,2216,female
2020,2.5,0.05,2216,female
2020,1,0.05,1003,male
2020,4.5,0.25,650,female
2020,2,0.25,650,male
2020,14,0.95,313,male
2020,2,0.05,2807,unknown
2020,1,0.25,1122,male
2020,0,0.05,2343,male
2020,0,0.05,1780,male
2020,29.5,0.95,277,male
2020,3,0.75,4989,male
2020,3,0.75,4989,male
2020,6,0.75,134,female
2020,1,0.5,646,male
2020,0,0.05,531,female
2020,1,0.05,1021,female
2020,2,0.5,3665,female
2020,3,0.75,916,male
2020,6,0.5,1920,male
2020,2.5,0.75,6146,female
2020,1.5,0.05,916,male
2020,5,0.75,0,male
2020,3.5,0.5,0,
2020,1.5,0.25,1504,female
2020,15,0.75,19,male
2020,3,0.05,3130,female
2020,2,0.75,3078,female
2020,2.5,0.5,3665,female
2020,2,0.05,868,male
2020,9.5,0.75,265,female
2020,6.5,0.75,788,male
2020,2,0.05,3128,male
2020,1,0.05,1003,unknown
2020,4.5,0.75,782,female
2020,1,0.5,2539,female
2020,5,0.5,2497,male
2020,1.5,0.05,287,male
2020,5,0.5,3130,male
2020,2.5,0.05,577,male
2020,10,0.75,0,male
2020,0.5,0.05,1771,male
2020,14,0.75,855,female
2020,12,0.75,650,
2020,5.5,0.5,0,male
2020,0.5,0.05,1778,female
2020,0,0.05,1677,male
2020,6,0.5,3130,male
2020,0,0.05,11081,male
2020,2.5,0.75,916,female
2020,5,0.05,1385,female
2020,1,0.5,3188,female
2020,2.5,0.75,3072,female
2020,0.5,0.25,788,male
2020,17.5,0.75,109,male
2020,10.5,0.25,173,female
2020,13,0.75,73,male
2020,1,0.25,181,unknown
2020,1.5,0.5,0,male
2020,2.5,0.05,0,male
2020,2,0.05,4108,male
2020,2.5,0.05,4748,female
2020,3.5,0.75,7023,male
2020,4,0.75,650,female
2020,1,0.25,3169,female
2020,2.5,0.75,738,male
2020,14.5,0.75,0,male
2020,19,0.95,846,male
2020,2.5,0.05,299,male
2020,2,0.75,9246,male
